X,Y,OBJECTID,NTD_ID,NTAD_NTD_ID,Agency_Name,City,State,Lon,Lat,In_Latest_NTAD_Upload
-16676841.6,8666590.544,8,12,12,Municipality of Anchorage,Anchorage,AK,-149.810617,61.177051,Yes - Agency fetch URL available and in compliance with GTFS standards.
-16450584.73,9560339.827,21,45,45,Fairbanks North Star Borough,Fairbanks,AK,-147.778117,64.817027,Yes - Agency fetch URL available and in compliance with GTFS standards.
-9663528.225,3963462.617,179,40042,40042,Birmingham-Jefferson County Transit Authority,Birmingham,AL,-86.80895103,33.51200262,Yes - Agency fetch URL available and in compliance with GTFS standards.
-9607710,3813131.87,180,40044,40044,City of Montgomery,Montgomery,AL,-86.30752738,32.37875827,Yes - Agency fetch URL available and in compliance with GTFS standards.
-9638680.477,4127044.713,185,40071,40071,"City of Huntsville, Alabama",Huntsville,AL,-86.58573991,34.72848817,Yes - Agency fetch URL available and in compliance with GTFS standards.
-9554202.565,3983088.865,449,40064,,East Alabama Regional Planning and Development Commission,Anniston,AL,-85.82686192,33.658876,No - Agency data not available due to processing or GTFS standard compliance errors.
-9507233.43,3845737.607,450,40073,,Lee-Russell Council of Governments,Opelika,AL,-85.404931,32.625783,No - Agency data not available due to processing or GTFS standard compliance errors.
-10271308.65,4131506.773,270,60033,60033,Rock Region Metropolitan Transit Authority,North Little Rock,AR,-92.26873548,34.76142455,Yes - Agency fetch URL available and in compliance with GTFS standards.
-10097278.94,4278421.915,278,60104,60104,City of Jonesboro,Jonesboro,AR,-90.7054,35.8385,Yes - Agency fetch URL available and in compliance with GTFS standards.
-10358544.65,4097299.971,505,60105,,City of Hot Springs,Hot Springs National Park,AR,-93.05238983,34.50859422,No - Agency data not available due to processing or GTFS standard compliance errors.
-12476122.69,3955096.142,357,90209,90032;90136;90209,"Valley Metro Rail, Inc.",Phoenix,AZ,-112.074917,33.449316,Yes - Agency fetch URL available and in compliance with GTFS standards.
-12476122.69,3955096.142,358,90136,90032;90136;90209,Regional Public Transportation Authority,Phoenix,AZ,-112.074917,33.449316,Yes - Agency fetch URL available and in compliance with GTFS standards.
-12476171.89,3955387.795,359,90032,90032;90136;90209,City of Phoenix Public Transit Department,Phoenix,AZ,-112.075359,33.451502,Yes - Agency fetch URL available and in compliance with GTFS standards.
-12353312.91,3792695.943,360,90033,90033,City of Tucson,Tucson,AZ,-110.971698,32.223588,Yes - Agency fetch URL available and in compliance with GTFS standards.
-12488427.47,3967012.85,361,90034,90034,City of Glendale,Glendale,AZ,-112.1854527,33.53858937,Yes - Agency fetch URL available and in compliance with GTFS standards.
-12422466.47,4193588.183,404,90219,90219,Northern Arizona Intergovernmental Public Transportation Authority,Flagstaff,AZ,-111.592915,35.218309,Yes - Agency fetch URL available and in compliance with GTFS standards.
-12275700.96,3706837.411,410,90239,90239,City of Sierra Vista,Sierra Vista,AZ,-110.274498,31.568772,Yes - Agency fetch URL available and in compliance with GTFS standards.
-12355990.28,3816856.611,524,90191,,Town of Oro Valley,Tucson,AZ,-110.9957492,32.40701164,No - Agency data not available due to processing or GTFS standard compliance errors.
-12363493.08,3778794.701,529,99352,,Pascua Yaqui Tribe,Tucson,AZ,-111.063148,32.117884,No - Agency data not available due to processing or GTFS standard compliance errors.
-13610558.29,4552655.73,337,90003,90003,San Francisco Bay Area Rapid Transit District,Oakland,CA,-122.2657254,37.81025467,Yes - Agency fetch URL available and in compliance with GTFS standards.
-13249837.18,4217197.689,338,90004,90004,Golden Empire Transit District,Bakersfield,CA,-119.0253125,35.39139132,Yes - Agency fetch URL available and in compliance with GTFS standards.
-13584565.13,4437788.305,339,90006,90006,Santa Cruz Metropolitan Transit District,Santa Cruz,CA,-122.0322248,36.99054027,Yes - Agency fetch URL available and in compliance with GTFS standards.
-13190418.31,4030278.42,340,90008,90008,City of Santa Monica,Santa Monica,CA,-118.4915437,34.01099454,Yes - Agency fetch URL available and in compliance with GTFS standards.
-13610109.62,4509899.437,341,90009,90009,San Mateo County Transit District,San Carlos,CA,-122.2616949,37.50618613,Yes - Agency fetch URL available and in compliance with GTFS standards.
-13174064.7,4007676.014,342,90010,90010,City of Torrance,Torrance,CA,-118.3446367,33.84252115,Yes - Agency fetch URL available and in compliance with GTFS standards.
-13501476.54,4572994.932,343,90012,90012,San Joaquin Regional Transit District,Stockton,CA,-121.2858273,37.95446282,Yes - Agency fetch URL available and in compliance with GTFS standards.
-13574122.03,4495079.945,344,90013,90013,Santa Clara Valley Transportation Authority,San Jose,CA,-121.9384129,37.40050444,Yes - Agency fetch URL available and in compliance with GTFS standards.
-13610914.98,4551984.708,345,90014,90014,Alameda-Contra Costa Transit District,Oakland,CA,-122.2689296,37.80549221,Yes - Agency fetch URL available and in compliance with GTFS standards.
