,artistId,trackName,trackViewUrl,sellerName,sellerUrl,artistName,userRatingCount,averageUserRating,averageUserRatingForCurrentVersion,version,primaryGenreName,genres/0,genres/1,agency
373,1460781652,Viggo - book a ride,https://apps.apple.com/us/app/viggo-book-a-ride/id1460781653?uo=4,Viggo Hq ApS,https://www.viggo.com/,Viggo HQ,131,4.96183,4.96183,1.20.10,Travel,Travel,Navigation,
60,1343524837,Waymo One,https://apps.apple.com/us/app/waymo-one/id1343524838?uo=4,Waymo LLC,https://waymo.com,Waymo LLC,5655,4.93687,4.93687,1.61,Travel,Travel,,
5,1199780188,Lime - #RideGreen,https://apps.apple.com/us/app/lime-ridegreen/id1199780189?uo=4,Neutron Holdings. Inc.,https://www.li.me/,Neutron Holdings. Inc.,1888087,4.93197,4.93197,3.126.0,Travel,Travel,Lifestyle,
530,1610699939,E-Mile: The Electric Ride,https://apps.apple.com/us/app/e-mile-the-electric-ride/id1610699937?uo=4,"TRAVEL ALL OVER-TAO, LLC",https://www.e-milerider.co/services,"TRAVEL ALL OVER-TAO, LLC",388,4.93041,4.93041,1.4,Travel,Travel,Entertainment,
559,680571815,BlackCab,https://apps.apple.com/us/app/blackcab/id680571812?uo=4,Miiles INT SRL,http://www.blackcab.ro,Miiles INT,120,4.925,4.925,3.9.6,Travel,Travel,,
337,633928714,Liftago,https://apps.apple.com/us/app/liftago/id633928711?uo=4,"Liftago, a.s.",http://www.liftago.com,"Liftago, a.s.",738,4.92276,4.92276,3.8.2,Travel,Travel,Business,
46,524123603,Blacklane - Chauffeur Service,https://apps.apple.com/us/app/blacklane-chauffeur-service/id524123600?uo=4,Blacklane GmbH,https://www.blacklane.com/en/,Blacklane GmbH,22120,4.91618,4.91618,5.48.1,Travel,Travel,,
1,523004506,Lyft,https://apps.apple.com/us/app/lyft/id529379082?uo=4,"Lyft, Inc.",http://lyft.com,"Lyft, Inc.",13229715,4.91533,4.91533,15.24.3,Travel,Travel,Navigation,
189,468340565,"Tutu.ru: flights, railway, bus",https://apps.apple.com/us/app/tutu-ru-flights-railway-bus/id1296791829?uo=4,Tutu.ru Limited Liability Company,,Tutu.ru,1028,4.90855,4.90855,3.109.1,Travel,Travel,Reference,
80,571316016,Wingz,https://apps.apple.com/us/app/wingz/id571316013?uo=4,"Wingz, Inc.",,"Wingz, Inc.",6184,4.90151,4.90151,5.32.72,Travel,Travel,Lifestyle,
24,295079414,"SIXT rent, share, ride & plus",https://apps.apple.com/us/app/sixt-rent-share-ride-plus/id295079411?uo=4,Sixt AG,https://www.sixt.com/,Sixt,57221,4.89886,4.89886,9.107.0,Travel,Travel,Lifestyle,
578,657777018,Groove On-Demand,https://apps.apple.com/us/app/groove-on-demand/id1545140409?uo=4,"Via Transportation, Inc.",,"Via Transportation, Inc.",384,4.89844,4.89844,4.6,Travel,Travel,Navigation,City of Memphis
275,657777018,MetroConnect Miami-Dade,https://apps.apple.com/us/app/metroconnect-miami-dade/id1531078058?uo=4,"Via Transportation, Inc.",https://ridewithvia.com/privacy-policy/,"Via Transportation, Inc.",744,4.89247,4.89247,4.11.11,Travel,Travel,Navigation,County of Miami-Dade
234,1467890715,Leaf Rides,https://apps.apple.com/us/app/leaf-rides/id1467890716?uo=4,LEAF LLC,,LEAF LLC,1660,4.88734,4.88734,1.83,Travel,Travel,Navigation,
6,1260842310,Bird — Ride Electric,https://apps.apple.com/us/app/bird-ride-electric/id1260842311?uo=4,"Bird Rides, Inc.",http://bird.co,"Bird Rides, Inc.",1349966,4.88474,4.88474,4.259.0,Travel,Travel,,
577,301294952,Airport Codes,https://apps.apple.com/us/app/airport-codes/id308579423?uo=4,"VersaEdge Software, LLC",,"VersaEdge Software, LLC",484,4.88429,4.88429,3.0.2,Travel,Travel,Reference,
461,657777018,Salem Skipper,https://apps.apple.com/us/app/salem-skipper/id1540576019?uo=4,"Via Transportation, Inc.",http://www.salemskipper.com/,"Via Transportation, Inc.",580,4.87931,4.87931,4.6,Travel,Travel,Navigation,
3,368677371,Uber - Request a ride,https://apps.apple.com/us/app/uber-request-a-ride/id368677368?uo=4,"Uber Technologies, Inc.",https://www.uber.com,"Uber Technologies, Inc.",6885109,4.87369,4.87369,3.580.10001,Travel,Travel,Lifestyle,
287,1220185946,MILES Carsharing & Transport,https://apps.apple.com/us/app/miles-carsharing-transport/id1220185947?uo=4,MILES Mobility GmbH,https://miles-mobility.com/,MILES Mobility GmbH,365,4.87123,4.87123,4.24,Travel,Travel,Lifestyle,
19,1232480544,inDrive. Save on city rides,https://apps.apple.com/us/app/indrive-save-on-city-rides/id780125801?uo=4,SUOL INNOVATIONS LTD,,SUOL INNOVATIONS LTD,132536,4.86707,4.86707,5.46.0,Travel,Travel,Navigation,
14,1136548164,"Grab: Taxi Ride, Food Delivery",https://apps.apple.com/us/app/grab-taxi-ride-food-delivery/id647268330?uo=4,GRABTAXI HOLDINGS PTE. LTD.,https://grab.com/,Grab.com,113024,4.86502,4.86502,5.271.0,Travel,Travel,Food & Drink,
10,431553215,Citymapper,https://apps.apple.com/us/app/citymapper/id469463298?uo=4,Citymapper Limited,https://citymapper.com,Citymapper Limited,55882,4.86191,4.86191,11.5.1,Navigation,Navigation,Travel,
