"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
,2019,2020,2021,2021,2020,2021,2021,
United States,"56,250","59,765","64,143",--,6.2,7.3,--,
,,,,,,,,
Alabama,"43,288","46,179","49,769",--,6.7,7.8,--,AL
Autauga,"42,846","45,248","48,347",11,5.6,6.8,60,AL
Baldwin,"48,380","51,348","54,659",4,6.1,6.4,63,AL
Barbour,"34,870","37,120","40,428",54,6.5,8.9,33,AL
Bibb,"31,800","34,598","36,892",66,8.8,6.6,62,AL
Blount,"36,542","38,351","42,634",39,5.0,11.2,10,AL
Bullock,"27,192","30,429","33,267",67,11.9,9.3,27,AL
Butler,"39,254","41,151","46,050",20,4.8,11.9,7,AL
Calhoun,"36,869","39,546","42,621",40,7.3,7.8,48,AL
Chambers,"33,682","36,299","39,728",58,7.8,9.4,26,AL
Cherokee,"37,751","39,416","43,719",32,4.4,10.9,11,AL
Chilton,"36,195","38,551","41,748",44,6.5,8.3,40,AL
Choctaw,"38,651","41,413","44,241",29,7.1,6.8,61,AL
Clarke,"37,426","41,862","45,232",23,11.9,8.1,43,AL
Clay,"32,059","34,660","38,705",62,8.1,11.7,8,AL
Cleburne,"35,819","37,670","42,836",38,5.2,13.7,3,AL
Coffee,"43,164","45,466","49,196",9,5.3,8.2,42,AL
Colbert,"37,912","41,088","44,279",28,8.4,7.8,49,AL
Conecuh,"34,183","37,887","41,656",47,10.8,9.9,17,AL
Coosa,"33,311","35,542","38,275",64,6.7,7.7,51,AL
Covington,"35,472","37,777","41,458",49,6.5,9.7,23,AL
Crenshaw,"37,965","39,921","46,038",21,5.2,15.3,1,AL
Cullman,"40,047","41,925","46,061",19,4.7,9.9,18,AL
Dale,"37,574","40,032","43,916",31,6.5,9.7,24,AL
Dallas,"35,069","38,762","41,850",42,10.5,8.0,45,AL
DeKalb,"33,015","34,999","40,026",57,6.0,14.4,2,AL
Elmore,"42,234","44,683","47,381",14,5.8,6.0,66,AL
Escambia,"33,325","36,134","39,363",60,8.4,8.9,32,AL
Etowah,"37,407","39,795","42,558",41,6.4,6.9,59,AL
Fayette,"35,733","37,852","41,672",46,5.9,10.1,15,AL
Franklin,"34,382","37,151","40,810",51,8.1,9.8,19,AL
Geneva,"36,154","38,132","41,569",48,5.5,9.0,30,AL
Greene,"33,294","36,851","40,461",53,10.7,9.8,21,AL
Hale,"37,619","40,633","44,085",30,8.0,8.5,36,AL
Henry,"44,657","46,518","51,184",5,4.2,10.0,16,AL
Houston,"44,250","47,648","50,976",6,7.7,7.0,57,AL
Jackson,"37,180","39,664","43,565",33,6.7,9.8,20,AL
